"Name","n_poste","Level","Section","Role","status","year","institutions","ID","X","X.1","Id.author.no"
"Bernard Formoso",117,NA,NA,NA,"externe",2019,"U Montpellier 3","29018188",NA,NA,NA
"Bernard Sarrazy",4438,NA,NA,NA,"externe",2018,NA,"6153207X",NA,NA,NA
"Bernard SARRAZY",4197,"PR","70",NA,"externe",2017," Bordeaux 2 ","6153207X",NA,NA,NA
"Bernard SARRAZY",4460,"PR","70",NA,"externe",2019," Bordeaux ","6153207X",NA,NA,NA
"Bernard Wentzel",4400,NA,NA,"pf","externe",2017," HEP Lausanne ","8387285X",NA,NA,NA
"BERNOT Gilles",4460,NA,NA,NA,"interne",2019,NA,"83849270",NA,NA,NA
"Bernoussi Mohad",4581,NA,NA,NA,"interne",2020,"INSPE Académie de NAntes",NA,NA,NA,"069642230"
"Bernoussi Mohad",4581,NA,NA,NA,"interne",2020,"INSPE Académie de NAntes",NA,NA,NA,"069642230"
"Bernoussi Mohad",4587,NA,NA,"pdt","interne",2020,"INSPE de NAntes",NA,NA,NA,"069642230"
"Bernoussi Mohad",4587,NA,NA,"pdt","interne",2020,"INSPE de NAntes",NA,NA,NA,"069642230"
"BERNOUSSI Mohammed",4524,NA,NA,NA,"interne",2019,NA,"69642230",NA,NA,NA
"Bertrand DAUNAY",193,"PR","70",NA,"externe",2017," Lille 3 ","57487383",NA,NA,NA
"Bertrand DAUNAY",878,NA,NA,NA,"externe",2020,NA,"57487383",NA,NA,NA
"Bertrand DAUNAY",879,NA,NA,NA,"externe",2020,NA,"57487383",NA,NA,NA
"Bertrand DAUNAY",4327," PR",NA,NA,"externe",2018," Université de Lille ","57487383",NA,NA,NA
"Bertrand DAUNAY",4282,"PR","70",NA,"interne",2017,NA,"57487383",NA,NA,NA
"Bertrand DAUNAY",4543,NA,NA,NA,"externe",2020,NA,"57487383",NA,NA,NA
"Bertrand DAUNAY",4545,"PU",NA,NA,"externe",2018,NA,"57487383",NA,NA,NA
"Bertrand OGILVIE",4224,"PR",NA,NA,"externe",2018,NA,"32782608",NA,NA,NA
"BETRANCOURT Mireille",28," PR ",NA,NA,"externe",2018,"Univ Genève","35315814",NA,NA,NA
"BETRANCOURT Mireille",73," PR ",NA,NA,"externe",2018,"Univ Genève","35315814",NA,NA,NA
"BETTON Emmanuelle",4173,"MCF"," 19 ",NA,"interne",2018,NA,"61172839",NA,NA,NA
"BEZILLE Hélène",4311," PU","70",NA,"externe",2018," Université de Paris EstCréteil ","76589781",NA,NA,NA
"BIDAUD Eric",4439," PR","16",NA,"externe",2018," Université Paris 7 ","34991557",NA,NA,NA
"BIDAUD Eric",4440," PR","16",NA,"externe",2018," Université Paris 7 ","34991557",NA,NA,NA
"Blaize Touzard",4436,"MCF-HDR","67",NA,"externe",2018,NA,NA,NA,NA,"127998217"
"BLANC Nathalie",4326," MCF",NA,NA,"externe",2018," Université Lyon 1 ","7637713X",NA,NA,NA
"BLANCHET Philippe",4326," PR",NA,NA,"externe",2018," Université de Rennes 2 ","28594533",NA,NA,NA
"BLAYA DEBARBIEUX Catherine",37,"PR",NA," v_pdt ","interne",2020,"Université Côte d'Azur","57765766",NA,NA,NA
"BLONDEAU Nicole",4439," MCF","70",NA,"interne",2018,NA,"74685856",NA,NA,NA
"BLONDEAU Nicole",4440," MCF","70",NA,"interne",2018,NA,"74685856",NA,NA,NA
"BOGLIOTTI Caroline",4063,"MCF","7",NA,"externe",2018,NA,"94677735",NA,NA,NA
"BOLLON Thierry",44,"MCF",NA,NA,"externe",2020,"USMB","148648665",NA,NA,NA
"BOTTE Nathalie",4329," MCF",NA,"v_pdt","interne",2018,NA,NA,NA,NA,"06946734X"
"BOUJUT Stéphanie",4383,"MCF"," 19 ",NA,"interne",2018,NA,"71330615",NA,NA,NA
"BOULEKBAHCHE Hafida",4438," PR","71",NA,"externe",2018," Université deValenciennes ",NA,NA,NA,"072310561"
"BOURHIS Véronique ",4463,NA,NA,NA,"externe",2018,NA,"99599112",NA,NA,NA
"Brandt-Pomares",878,NA,NA,NA,"interne",2020,"INSPE Université Aix-Marseille","77902092",NA,NA,NA
"Brandt-Pomares",879,NA,NA,NA,"interne",2020,"INSPE Université Aix-Marseille","77902092",NA,NA,NA
"BREMOND Capucine",4173,"MCF"," 7 ",NA,"interne",2018,NA,"76154483",NA,NA,NA
"BRETEGNIER Aude",4497,"PU","7",NA,"externe",2020,"Le Mans Université","70549923",NA,NA,NA
"BRETON Hervé",4467,"MCF"," 70 ",NA,"interne",2020,"Université de Tours","28824644",NA,NA,NA
"Briaud Philipp",4587,NA,NA,NA,"interne",2020,"INSPE de NAntes","33583382",NA,NA,NA
"Brière",878,NA,NA,NA,"interne",2020,"INSPE Université Aix-Marseille","55387470",NA,NA,NA
"BRIERE F",262,"MCF",NA,NA,"externe",2018,NA,"101340273",NA,NA,NA
"Brigitte Albero",4311," PU","70",NA,"interne",2018,NA,"54377595",NA,NA,NA
"Brigitte Albero",4313,"PR",NA,NA,"interne",2018,NA,"54377595",NA,NA,NA
"Brigitte Albero",4338,NA,NA,NA,"interne",2019,NA,"54377595",NA,NA,NA
"Brigitte Albero",4337,NA,NA,NA,"interne",2019,NA,"54377595",NA,NA,NA
"Brigitte Albero",4387,NA,NA,NA,"externe",2020,NA,"54377595",NA,NA,NA
"Brigitte Albero",4471,NA,NA,NA,"externe",2018,NA,"54377595",NA,NA,NA
"Brigitte Albero",4611,NA,NA,NA,"externe",2020,NA,"54377595",NA,NA,NA
"Brigitte ALBERO",4219,"PR",NA,NA,"externe",2017,"Université de Rennes 2 ","54377595",NA,NA,NA
"Brigitte ALBERO",4273,"PR","70",NA,"interne",2017,NA,"54377595",NA,NA,NA
"Brigitte ALBERO",4499,"PU","70",NA,"externe",2020,"Université de Rennes","54377595",NA,NA,NA
"Brigitte GRUSON",4306,"MCF",NA,NA,"interne",2017,NA,"111200326",NA,NA,NA
"Brigitte LOUICHON",191,"PR","9",NA,"interne",2017,NA,"71567895",NA,NA,NA
"Brigitte LOUICHON",193,"PR","9",NA,"interne",2017,NA,"71567895",NA,NA,NA
"Brigitte LOUICHON",4365,"PR","9",NA,"externe",2019," Montpellier 2 ","71567895",NA,NA,NA
"Brigitte LOUICHON",4510,"PR","9",NA,"externe",2019," Université deMontpellier ","71567895",NA,NA,NA
"Brigitte Marin",544,"PR","7",NA,"externe",2017," ESPE de Créteil","35612649",NA,NA,NA
"Brigitte Marin",4762,NA,NA,NA,"interne",2020,"INSPE Académie de Créteil","35612649",NA,NA,NA
"Brigitte MARIN",646,"PU","7",NA,"externe",2018," UPEC Paris Est ","35612649",NA,NA,NA
"Brigitte MARIN",4254,"PR","7",NA,"externe",2019," UPEC ","35612649",NA,NA,NA
"Brigitte Monfroy",43,"MCF",NA,NA,"interne",2018,NA,NA,NA,NA,"243527918"
"Brigitte Monfroy",43,"MCF",NA,NA,"interne",2018,NA,NA,NA,NA,"243527918"
"Brigitte Monfroy",56,NA,NA,NA,"interne",2019,NA,NA,NA,NA,"243527918"
"Brigitte Monfroy",56,NA,NA,NA,"interne",2019,NA,NA,NA,NA,"243527918"
"Brigitte PAGNANI",75,NA,NA,NA,"externe",2018,NA,"83924949",NA,NA,NA
"Brigitte PAGNANI",75,NA,NA,NA,"externe",2018,NA,"83924949",NA,NA,NA
"Brigitte PAGNANI",909,"MCF","70",NA,"externe",2017," Strasbourg ","83924949",NA,NA,NA
"BRUGUIERE Catherine",381,"MCF",NA,NA,"externe",2019," ESPE-UniversitéClaude BerNArd Lyon 1 ","169043983",NA,NA,NA
"BRUILLARD Eric ",164,NA,NA,NA,"externe",2019,NA,"28314530",NA,NA,NA
"BRUNEAUD Jean-François",4226,"MCF                                                                                                                                                                                                                                                                                             ","70",NA,"externe",2020,NA,"7570000X",NA,NA,NA
"Bruno BLANCKEMAN",58,NA,NA,NA,"externe",2019,NA,"57059748",NA,NA,NA
"Bruno DE LIEVRE",589,"PR","70",NA,"externe",2017," Université de Mons","33408521",NA,NA,NA
