,item_id,trans_id
1217,V,1217
1218,IV,1218
1219,IX,1219
1220,V,1220
1221,V,1221
1222,VIII,1222
1223,VI,1223
1224,VIII,1224
1225,VII,1225
1226,V,1226
1227,V,1227
1228,V,1228
1229,V,1229
1230,VIII,1230
1231,V,1231
1232,VIII,1232
1233,VIII,1233
1234,VII,1234
1235,VII,1235
1236,IX,1236
1237,V,1237
1238,IV,1238
1239,X,1239
1240,VI,1240
1241,IX,1241
1242,VII,1242
1243,V,1243
1244,IX,1244
1245,VIII,1245
1247,VII,1247
1248,VII,1248
1249,V,1249
1250,V,1250
1251,V,1251
1252,IX,1252
1253,X,1253
1254,IX,1254
1255,VII,1255
1256,VII,1256
1257,IX,1257
1258,X,1258
1259,II,1259
1260,IX,1260
1263,VI,1263
1266,VII,1266
1267,V,1267
1268,V,1268
1269,V,1269
1270,V,1270
1271,V,1271
1272,V,1272
1273,IX,1273
1274,V,1274
1275,IX,1275
1276,IX,1276
1277,IX,1277
1278,X,1278
1279,V,1279
1280,IX,1280
1281,VIII,1281
1282,IV,1282
1283,X,1283
1284,X,1284
1285,V,1285
1286,IX,1286
1287,VIII,1287
1288,X,1288
1290,X,1290
1291,X,1291
1292,X,1292
1294,IX,1294
1295,IX,1295
1296,VI,1296
1297,V,1297
1298,IX,1298
1299,VI,1299
1300,IX,1300
1301,IX,1301
1302,IX,1302
1303,V,1303
1304,X,1304
1305,IX,1305
1306,V,1306
1307,VIII,1307
1308,XII,1308
1309,IX,1309
1310,V,1310
1311,IX,1311
1312,X,1312
1313,II,1313
1314,VIII,1314
1315,VIII,1315
1317,II,1317
1318,IX,1318
1319,VI,1319
1320,IX,1320
1321,VIII,1321
1322,V,1322
1323,VIII,1323
1324,VIII,1324
1325,VI,1325
1326,IX,1326
1327,VIII,1327
1328,VIII,1328
1329,V,1329
1330,V,1330
1331,IX,1331
1332,IX,1332
1333,I - Droit,1333
1334,V,1334
1335,VII,1335
1336,X,1336
1337,V,1337
1338,IX,1338
1339,IX,1339
1340,VIII,1340
1341,IX,1341
1342,V,1342
1343,IX,1343
1344,IX,1344
1345,X,1345
1346,VI,1346
1347,IX,1347
1348,X,1348
1349,VII,1349
1350,VII,1350
1351,VI,1351
1352,VIII,1352
1353,IX,1353
1354,IX,1354
1355,IX,1355
1356,V,1356
1357,VI,1357
1358,VIII,1358
1359,IX,1359
1360,IX,1360
1361,X,1361
1362,V,1362
1363,IV,1363
1364,IX,1364
1365,VI,1365
1366,IX,1366
1367,V,1367
1368,V,1368
1369,VI,1369
1370,VI,1370
1371,VII,1371
1372,V,1372
1373,VI,1373
1374,IX,1374
1376,IX,1376
1377,VII,1377
1378,V,1378
1379,V,1379
1380,VIII,1380
1381,VIII,1381
1382,VI,1382
1384,XII,1384
1385,X,1385
1387,IX,1387
1388,V,1388
1389,VI,1389
1390,IX,1390
1391,II,1391
1392,IX,1392
1393,IX,1393
1394,IX,1394
1395,V,1395
1396,VIII,1396
1397,IV,1397
1398,VIII,1398
1399,VI,1399
1400,IX,1400
1401,IX,1401
1402,IX,1402
1403,X,1403
1404,X,1404
1405,X,1405
1406,IX,1406
1407,V,1407
1408,I - Droit,1408
1409,VIII,1409
1410,V,1410
1411,VI,1411
1412,X,1412
1413,II,1413
1414,VIII,1414
1415,V,1415
1416,IX,1416
1417,VI,1417
1418,IX,1418
1419,IX,1419
1420,VI,1420
1421,IX,1421
1422,VIII,1422
1423,VI,1423
1424,IX,1424
1425,X,1425
1426,X,1426
1427,VII,1427
1428,IX,1428
1429,V,1429
1430,X,1430
1431,IX,1431
1432,IX,1432
1433,V,1433
1434,IX,1434
1435,IX,1435
1436,X,1436
1437,V,1437
1438,VII,1438
1439,II,1439
1440,VII,1440
1441,V,1441
1442,V,1442
1443,VIII,1443
1444,V,1444
1445,X,1445
1446,X,1446
1447,IX,1447
1448,IX,1448
1449,VI,1449
1450,V,1450
1451,X,1451
1452,IX,1452
1453,X,1453
1454,V,1454
1455,XII,1455
1456,V,1456
1457,X,1457
1458,V,1458
1459,IX,1459
1460,V,1460
1461,VII,1461
1462,V,1462
1463,VII,1463
1464,VII,1464
1465,VII,1465
1466,VIII,1466
1467,X,1467
1468,IX,1468
1469,V,1469
1470,IX,1470
1471,V,1471
1472,VIII,1472
1473,IX,1473
1474,V,1474
1475,V,1475
1476,V,1476
1477,VIII,1477
1479,II,1479
1481,VI,1481
1482,V,1482
1483,V,1483
1484,VII,1484
1485,V,1485
1486,VI,1486
1487,VIII,1487
1488,II,1488
1489,IX,1489
1490,VIII,1490
1491,VI,1491
1492,V,1492
1493,VIII,1493
1494,VIII,1494
1495,V,1495
1496,VIII,1496
1497,VIII,1497
1498,VIII,1498
1499,IX,1499
1500,V,1500
1501,VIII,1501
1502,VI,1502
1503,IX,1503
1504,X,1504
1505,V,1505
1506,VIII,1506
1507,II,1507
1508,IX,1508
1509,VI,1509
1510,X,1510
1511,VIII,1511
1512,VIII,1512
1513,V,1513
1515,V,1515
1516,IX,1516
1517,IX,1517
1518,V,1518
1519,VIII,1519
1520,IX,1520
1521,IX,1521
1522,IX,1522
1523,X,1523
1525,II,1525
1526,X,1526
1527,X,1527
1528,IX,1528
1529,V,1529
1530,IV,1530
1531,IX,1531
1532,VII,1532
1533,VIII,1533
1534,VI,1534
1535,IX,1535
1536,IV,1536
1537,IV,1537
1538,V,1538
1539,IV,1539
1540,IX,1540
1541,V,1541
1542,IX,1542
1543,VIII,1543
1544,IX,1544
1545,IX,1545
1546,IX,1546
1547,VIII,1547
1548,V,1548
1549,IX,1549
1550,III,1550
1551,V,1551
1552,IX,1552
1553,V,1553
1554,IX,1554
1555,V,1555
1556,IX,1556
1557,X,1557
1558,V,1558
1559,X,1559
1561,VIII,1561
1562,VIII,1562
1563,VIII,1563
1564,IX,1564
1565,VI,1565
1566,II,1566
1567,VI,1567
1569,IX,1569
1570,X,1570
1571,IX,1571
1572,V,1572
1573,IX,1573
1574,IX,1574
1575,V,1575
1576,IX,1576
1577,X,1577
1578,IX,1578
1579,V,1579
1580,IX,1580
1581,II,1581
1582,X,1582
1583,IX,1583
1584,V,1584
1585,V,1585
1586,IX,1586
1587,VIII,1587
1588,X,1588
1590,IX,1590
1591,VII,1591
1592,V,1592
1593,VIII,1593
1594,V,1594
1595,VIII,1595
1596,VIII,1596
1598,IX,1598
1599,VIII,1599
1600,VIII,1600
1601,VIII,1601
1602,IX,1602
1603,IX,1603
1604,VI,1604
1605,X,1605
1606,IV,1606
1607,VI,1607
1608,XII,1608
1609,V,1609
1610,VII,1610
1611,V,1611
1612,VIII,1612
1613,V,1613
1614,V,1614
1615,X,1615
1616,VIII,1616
1617,VIII,1617
1618,VIII,1618
1619,VIII,1619
1620,V,1620
1621,VIII,1621
1622,V,1622
1623,VI,1623
1624,V,1624
1625,V,1625
1626,V,1626
1627,V,1627
1628,V,1628
1629,VIII,1629
1630,V,1630
1631,V,1631
1632,V,1632
1633,V,1633
1634,V,1634
1635,X,1635
1636,IV,1636
1638,VIII,1638
1639,V,1639
